parameter,value,pearson_mean,pearson_std,nrmse_mean,nrmse_std,classification_accuracy_mean,classification_accuracy_std,accuracy_drop_mean,accuracy_drop_std,regime_crossing_rate_mean,regime_crossing_rate_std
alpha,0.0,0.9999999999999998,1.9229626863835638e-16,0.0,0.0,0.7032138265962005,0.09708813848409287,0.0,0.0,0.025028571428571428,0.004795193171397833
alpha,0.05,0.9987456899364269,2.507806784295102e-05,0.05014156222006192,0.0004798773168990216,0.6962148264533639,0.0964599343103295,0.006999000142836697,0.005244267890497307,0.0702,0.014777464917493635
alpha,0.1,0.995025609851678,8.479952808917617e-05,0.10013353676286943,0.0008182522075976979,0.6893015283530924,0.0923764728073902,0.013912298243108112,0.009314335360777148,0.12168571428571429,0.027210142166749027
alpha,0.2,0.9806339946957099,0.0004332575414425709,0.19972718090103114,0.0016740961693275864,0.673989430081417,0.07672537551497016,0.02922439651478361,0.029136348774513463,0.19342857142857142,0.03846360590989665
alpha,0.4,0.9287654597788582,0.0011945956037977088,0.3991850824810639,0.003343559374901306,0.6503356663333809,0.05761785070018166,0.05287816026281957,0.05109597735765611,0.2854285714285714,0.04950809045406784
alpha,0.8,0.778416224765844,0.0022241968078776284,0.8011569688786055,0.004925914272533511,0.6017711755463505,0.0422671259999112,0.10144265104985,0.08417928956294302,0.3733714285714286,0.05764180384946682
alpha,1.6,0.5346925176892914,0.0036492778251646226,1.5954409911846479,0.010819984421409558,0.5336951864019426,0.0387183210821145,0.16951864019425794,0.10460240620120116,0.46651428571428577,0.04407931163579708
k,0.0,0.9999999999999998,1.9229626863835638e-16,0.0,0.0,0.7032138265962005,0.09708813848409287,0.0,0.0,0.025028571428571428,0.004795193171397833
k,1.0,0.998487508629912,0.00020622769687820774,0.05490442685595011,0.003652308513644926,0.7008141694043708,0.09622541139656726,0.0023996571918297517,0.0012220682551753953,0.025028571428571428,0.004795193171397833
k,2.0,0.9967654719417107,0.0004625890725696018,0.08027940893891947,0.005597244865871716,0.6984716469075847,0.09538136390497287,0.004742179688615922,0.002420650782952712,0.025028571428571428,0.004795193171397833
k,5.0,0.9903411091880056,0.0018092418115376902,0.13855271968121669,0.012589484670942641,0.6915012141122696,0.09266997216146303,0.011712612483930828,0.006266122487942822,0.025028571428571428,0.004795193171397833
k,10.0,0.9761034461896291,0.005800196906981382,0.2174415370695968,0.025941522153881715,0.6813026710469933,0.08856553876626123,0.02191115554920724,0.011799213706560579,0.025028571428571428,0.004795193171397833
k,20.0,0.9372037718046713,0.017918963420025597,0.351722059459681,0.050131789243510465,0.6608770175689187,0.08218137486358428,0.04233680902728183,0.02291686257266886,0.025,0.004577005526743085
k,50.0,0.7715126167471725,0.07152776626773533,0.6701261699409862,0.10683571655348947,0.6011426939008713,0.0738676981167105,0.10207113269532926,0.05018893537542142,0.025,0.0043141911058689995
